"File","Time in ms","Size in KB"
"json607.jsonld",776,549
"json608.jsonld",803,550
"json609.jsonld",885,551
"json610.jsonld",829,552
"json611.jsonld",782,553
"json612.jsonld",802,554
"json613.jsonld",980,554
"json614.jsonld",1050,555
"json615.jsonld",811,556
"json616.jsonld",865,557
"json617.jsonld",850,558
"json618.jsonld",804,559
"json619.jsonld",793,560
"json620.jsonld",810,561
"json621.jsonld",832,562
"json622.jsonld",848,563
"json623.jsonld",1030,563
"json624.jsonld",865,564
"json625.jsonld",920,565
"json626.jsonld",860,566
"json627.jsonld",927,567
"json628.jsonld",1069,568
"json629.jsonld",896,569
"json630.jsonld",828,570
"json631.jsonld",797,571
"json632.jsonld",852,572
"json633.jsonld",796,572
"json634.jsonld",780,573
"json635.jsonld",783,574
"json636.jsonld",857,575
"json637.jsonld",835,576
"json638.jsonld",986,577
"json639.jsonld",844,578
"json640.jsonld",813,579
"json641.jsonld",836,580
"json642.jsonld",917,581
"json643.jsonld",822,582
"json644.jsonld",827,582
"json645.jsonld",816,583
"json646.jsonld",827,584
"json647.jsonld",822,585
"json648.jsonld",920,586
"json649.jsonld",943,587
"json650.jsonld",832,588
"json651.jsonld",889,589
"json652.jsonld",955,590
"json653.jsonld",963,591
"json654.jsonld",1066,591
"json655.jsonld",958,592
"json656.jsonld",885,593
"json657.jsonld",907,594
"json658.jsonld",960,595
"json659.jsonld",937,596
"json660.jsonld",1031,597
"json661.jsonld",979,598
"json662.jsonld",956,599
"json663.jsonld",1191,600
"json664.jsonld",1251,600
"json665.jsonld",1018,601
"json666.jsonld",1236,602
"json667.jsonld",848,603
"json668.jsonld",944,604
"json669.jsonld",933,605
"json670.jsonld",1171,606
"json671.jsonld",903,607
"json672.jsonld",1078,608
"json673.jsonld",1042,609
"json674.jsonld",913,609
"json675.jsonld",889,610
"json676.jsonld",1078,611
"json677.jsonld",918,612
"json678.jsonld",1196,613
"json679.jsonld",1038,614
"json680.jsonld",979,615
"json681.jsonld",970,616
"json682.jsonld",925,617
"json683.jsonld",917,618
"json684.jsonld",872,619
"json685.jsonld",1231,619
"json686.jsonld",1222,620
"json687.jsonld",1127,621
"json688.jsonld",1061,622
"json689.jsonld",925,623
"json690.jsonld",1052,624
"json691.jsonld",956,625
"json692.jsonld",1142,626
"json693.jsonld",954,627
"json694.jsonld",992,628
"json695.jsonld",1034,628
"json696.jsonld",999,629
"json697.jsonld",956,630
"json698.jsonld",1045,631
"json699.jsonld",932,632
"json700.jsonld",886,633
"json701.jsonld",1045,634
"json702.jsonld",1050,635
"json703.jsonld",921,636
"json704.jsonld",962,637
"json705.jsonld",946,637
"json706.jsonld",998,638
"json707.jsonld",998,639
"json708.jsonld",919,640
"json709.jsonld",1075,641
"json710.jsonld",912,642
"json711.jsonld",985,643
"json712.jsonld",998,644
"json713.jsonld",1194,645
"json714.jsonld",1012,646
"json715.jsonld",969,646
"json716.jsonld",976,647
"json717.jsonld",1171,648
"json718.jsonld",970,649
"json719.jsonld",957,650
"json720.jsonld",971,651
"json721.jsonld",1151,652
"json722.jsonld",1119,653
"json723.jsonld",1040,654
"json724.jsonld",1093,655
"json725.jsonld",1130,655
"json726.jsonld",1015,656
"json727.jsonld",990,657
"json728.jsonld",1058,658
"json729.jsonld",1115,659
"json730.jsonld",930,660
"json731.jsonld",1017,661
"json732.jsonld",971,662
"json733.jsonld",1230,663
"json734.jsonld",993,664
"json735.jsonld",1077,665
"json736.jsonld",1062,665
"json737.jsonld",1106,666
"json738.jsonld",1030,667
"json739.jsonld",1027,668
"json740.jsonld",1017,669
"json741.jsonld",1001,670
"json742.jsonld",998,671
"json743.jsonld",1006,672
"json744.jsonld",1007,673
"json745.jsonld",1053,674
"json746.jsonld",1017,674
"json747.jsonld",1022,675
"json748.jsonld",1034,676
"json749.jsonld",1413,677
"json750.jsonld",1027,678
"json751.jsonld",1028,679
"json752.jsonld",1030,680
"json753.jsonld",1052,681
"json754.jsonld",1162,682
"json755.jsonld",1172,683
"json756.jsonld",1055,683
"json757.jsonld",1111,684
"json758.jsonld",1031,685
"json759.jsonld",1064,686
"json760.jsonld",1033,687
"json761.jsonld",1040,688
"json762.jsonld",1130,689
"json763.jsonld",1110,690
"json764.jsonld",982,691
"json765.jsonld",1192,692
"json766.jsonld",1087,692
"json767.jsonld",1126,693
"json768.jsonld",1084,694
"json769.jsonld",1094,695
"json770.jsonld",1098,696
"json771.jsonld",1091,697
"json772.jsonld",1098,698
"json773.jsonld",1130,699
"json774.jsonld",1128,700
"json775.jsonld",1079,701
"json776.jsonld",1121,702
"json777.jsonld",1326,702
"json778.jsonld",1295,703
"json779.jsonld",1175,704
"json780.jsonld",994,705
"json781.jsonld",1067,706
"json782.jsonld",1004,707
"json783.jsonld",993,708
"json784.jsonld",1069,709
"json785.jsonld",996,710
"json786.jsonld",1004,711
"json787.jsonld",1071,711
"json788.jsonld",1006,712
"json789.jsonld",1061,713
"json790.jsonld",1082,714
"json791.jsonld",1117,715
"json792.jsonld",1074,716
"json793.jsonld",1069,717
"json794.jsonld",1005,718
"json795.jsonld",1261,719
"json796.jsonld",1014,720
"json797.jsonld",1113,720
"json798.jsonld",1218,721
"json799.jsonld",1215,722
"json800.jsonld",1114,723
"json801.jsonld",1075,724
"json802.jsonld",1096,725
"json803.jsonld",1138,726
"json804.jsonld",1082,727
"json805.jsonld",1033,728
"json806.jsonld",1113,729
"json807.jsonld",1020,729
"json808.jsonld",1113,730
"json809.jsonld",1259,731
"json810.jsonld",1349,732
"json811.jsonld",1017,733
"json812.jsonld",1144,734
"json813.jsonld",1113,735
"json814.jsonld",1041,736
"json815.jsonld",1035,737
"json816.jsonld",1098,738
"json817.jsonld",1109,739
"json818.jsonld",1035,739
"json819.jsonld",1073,740
"json820.jsonld",1207,741
"json821.jsonld",1448,742
"json822.jsonld",1171,743
"json823.jsonld",1244,744
"json824.jsonld",1286,745
"json825.jsonld",1452,746
"json826.jsonld",1255,747
"json827.jsonld",1428,748
"json828.jsonld",1126,748
"json829.jsonld",1402,749
"json830.jsonld",1281,750
"json831.jsonld",1128,751
"json832.jsonld",1256,752
"json833.jsonld",1125,753
"json834.jsonld",1139,754
"json835.jsonld",1224,755
"json836.jsonld",1323,756
"json837.jsonld",1287,757
"json838.jsonld",1077,757
"json839.jsonld",1302,758
"json840.jsonld",1238,759
"json841.jsonld",1370,760
"json842.jsonld",1152,761
"json843.jsonld",1100,762
"json844.jsonld",1273,763
"json845.jsonld",1207,764
"json846.jsonld",1263,765
"json847.jsonld",1169,766
"json848.jsonld",1146,766
"json849.jsonld",1137,767
"json850.jsonld",1124,768
"json851.jsonld",1117,769
"json852.jsonld",1147,770
"json853.jsonld",1130,771
"json854.jsonld",1081,772
"json855.jsonld",1114,773
"json856.jsonld",1200,774
